ELIZABETE KAOLU SAIBARA,Restaurante,R,7 de Setembro,2172, Centro,São Carlos, SP,13560-180,,
PAULA MARIA LAZZARINI,Restaurante,Av,José Pereira Lopes,648 FRENTE, Vila Prado,São Carlos, SP,13574-380,16,33645560
TEMPERO MANERO,Restaurante,R,Geminiano Costa,640 SUPERIOR, Jardim São Carlos,São Carlos, SP,13560-641,,
DECK POTATÕES,Restaurante,R,Padre Teixeira,1662, Centro,São Carlos, SP,13560-210,16,33755681
DONA LUZIA ESPAÇO GOURMET,Restaurante,Av,Araraquara,328, Vila Brasília,São Carlos, SP,13566-770,16,34155414
ZOÉ MUSIC,Restaurante,Pso,Flamboyants,200 lj-32, Parque Faber,São Carlos, SP,13561-352,16,33077060
JEDUTUN SERVICE,Restaurante,R,Benjamin Constant,215, Vila Boa Vista,São Carlos, SP,13574-004,16,33747851
TREM BÃO BURGUER GRILL,Restaurante,Pso,Flamboyants 200 Lj,29, Parque Faber,São Carlos, SP,13561-352,16,33729943
MACARRÃO NA CHAPA,Restaurante,R,Jesuino de Arruda,2611, Jardim São Carlos,São Carlos, SP,13560-642,16,32019885
SHOT CAFÉ,Restaurante,R,9 de Julho 1671 Lj,06, Centro,São Carlos, SP,13560-042,16,34151047
CHINA IN BOX,Restaurante,R,15 de Novembro,2174, Centro,São Carlos, SP,13560-240,16,33761221
JOSÉ CARLOS ALVES DE SENE,Restaurante,R,Orlando Perez,675, Loteamento Habitacional São Carlos 2,São Carlos, SP,13563-210,16,33720182,992559510,992568097
NK PREST SERVICE,Restaurante,Av,São Carlos,1249, Centro,São Carlos, SP,13560-010,16,35014020
SAMAN FAST FOOD SALGADERIAS,Restaurante,R,Episcopal,1207, Núcleo Residencial Sílvio Vilari,São Carlos, SP,13560-570,16,999916581
YB CYBER CAFÉ VILA NERY,Restaurante,Av,Capitão Luiz Brandão,46, Vila Vista Alegre,São Carlos, SP,13567-181,16,33729991
LANCHONETE DA ANA,Restaurante,R,Coronel José Augusto de Oliveira Salles,471, Vila Izabel,São Carlos, SP,13570-820,16,33687539
